"flat","not","theory","brush","bowl","edge","lonely","wagon","burn","build"
"congress","count","section","earlier","are","happily","its","similar","worth","practical"
"cast","distant","sweet","unit","direction","political","hidden","hospital","television","lead"
"afternoon","stronger","cowboy","toward","shallow","mood","animal","spent","thought","map"
"roof","line","laid","brother","adult","variety","sit","including","police","education"
"bill","leaf","lips","arrive","radio","shallow","scene","garage","actually","am"
"pony","married","guess","its","main","area","alike","brave","using","single"
"process","nation","stared","mouth","box","tank","cookies","cook","clearly","shallow"
"visitor","fellow","attempt","party","struck","string","shall","double","allow","importance"
"worker","mine","voyage","widely","determine","outer","plural","agree","frog","arrow"
"image","similar","opposite","subject","mostly","satellites","room","believed","broken","whispered"